ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
GabingDolchariSapmara-7-rainbow-1,,GabingDolchariSapmara,7-rainbow,ʧokləiŋbakləiŋ,ʧokləiŋbakləiŋ,ʧ o k l əi ŋ b a k l əi ŋ,,Kim2011,,,,
NaitongLombapara-7-rainbow-1,,NaitongLombapara,7-rainbow,ʧoklɛŋ,ʧoklɛŋ,ʧ o k l ɛ ŋ,,Kim2011,,,,
KemaPakkhipara-7-rainbow-1,,KemaPakkhipara,7-rainbow,totɛkɛlɛŋ,totɛkɛlɛŋ,t o t ɛ k ɛ l ɛ ŋ,,Kim2011,,,,
TongpaiTongpaipara-7-rainbow-1,,TongpaiTongpaipara,7-rainbow,ʧoklipani,ʧoklipani,ʧ o k l i p a n i,,Kim2011,,,,
AshongMildhanpara-7-rainbow-1,,AshongMildhanpara,7-rainbow,ʧupritɔinɨŋgɨ,ʧupritɔinɨŋgɨ,ʧ u p r i t ɔi n ɨ ŋ g ɨ,,Kim2011,,,,
DendakNoimailGutchagram-7-rainbow-1,,DendakNoimailGutchagram,7-rainbow,ʧuklipani,ʧuklipani,ʧ u k l i p a n i,,Kim2011,,,,
KhaliBeltolipara-7-rainbow-1,,KhaliBeltolipara,7-rainbow,ʧoklɛŋ,ʧoklɛŋ,ʧ o k l ɛ ŋ,,Kim2011,,,,
UsoiRobertpara-7-rainbow-1,,UsoiRobertpara,7-rainbow,tɔiʧɔŋgli,tɔiʧɔŋgli,t ɔi ʧ ɔ ŋ g l i,,Kim2011,,,,
UsoiBethanipara-7-rainbow-1,,UsoiBethanipara,7-rainbow,tɔiʧɔŋgli,tɔiʧɔŋgli,t ɔi ʧ ɔ ŋ g l i,,Kim2011,,,,
UsoiKatchaptali-7-rainbow-1,,UsoiKatchaptali,7-rainbow,tɔiʧɔŋgli,tɔiʧɔŋgli,t ɔi ʧ ɔ ŋ g l i,,Kim2011,,,,
AnokLaiphuKarbaripara-7-rainbow-1,,AnokLaiphuKarbaripara,7-rainbow,ʧoklɛŋ,ʧoklɛŋ,ʧ o k l ɛ ŋ,,Kim2011,,,,
KewaKrishnaDayalpara-7-rainbow-1,,KewaKrishnaDayalpara,7-rainbow,tɔiʤoŋgol,tɔiʤoŋgol,t ɔi ʤ o ŋ g o l,,Kim2011,,,,
PhatungJarichandrapara-7-rainbow-1,,PhatungJarichandrapara,7-rainbow,toiʈʃuklok,toiʈʃuklok,t oi ʧ u k l o k,,Kim2011,,,,
DebbarmaDoluchara-7-rainbow-1,,DebbarmaDoluchara,7-rainbow,doŋgoi,doŋgoi,d o ŋ g oi,,Kim2011,,,,
DebbarmaSatchari-7-rainbow-1,,DebbarmaSatchari,7-rainbow,ʧokrɛŋ,ʧokrɛŋ,ʧ o k r ɛ ŋ,,Kim2011,,,,
DebbarmaKhumuling-7-rainbow-1,,DebbarmaKhumuling,7-rainbow,ʧokrɛŋ,ʧokrɛŋ,ʧ o k r ɛ ŋ,,Kim2011,,,,
MukchakBarbakpur-7-rainbow-1,,MukchakBarbakpur,7-rainbow,ɾɔŋdʰɔnu,ɾɔŋdʰɔnu,ɾ ɔ ŋ dʰ ɔ n u,,Kim2011,,,,
RiangOldlankar-7-rainbow-1,,RiangOldlankar,7-rainbow,ʧɔŋlɛiŋ,ʧɔŋlɛiŋ,ʧ ɔ ŋ l ɛi ŋ,,Kim2011,,,,
AbengGajni-7-rainbow-1,,AbengGajni,7-rainbow,ʃundaɾi,ʃundaɾi,ʃ u n d a ɾ i,,Kim2011,,,,
AtongNalchapra-7-rainbow-1,,AtongNalchapra,7-rainbow,ʧɛŋroŋ,ʧɛŋroŋ,ʧ ɛ ŋ r o ŋ,,Kim2011,,,,
Bangla-8-wind-1,,Bangla,8-wind,bataʃ,bataʃ,b a t a ʃ,,Kim2011,,,,
UsoiBoroPharangsia-8-wind-1,,UsoiBoroPharangsia,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
UsoiChotoMadhuk-8-wind-1,,UsoiChotoMadhuk,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
GabingDolchariSapmara-8-wind-1,,GabingDolchariSapmara,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
NaitongLombapara-8-wind-1,,NaitongLombapara,8-wind,nobar,nobar,n o b a r,,Kim2011,,,,
KemaPakkhipara-8-wind-1,,KemaPakkhipara,8-wind,nobat,nobat,n o b a t,,Kim2011,,,,
TongpaiTongpaipara-8-wind-1,,TongpaiTongpaipara,8-wind,noba,noba,n o b a,,Kim2011,,,,
AshongMildhanpara-8-wind-1,,AshongMildhanpara,8-wind,nowa,nowa,n o w a,,Kim2011,,,,
DendakNoimailGutchagram-8-wind-1,,DendakNoimailGutchagram,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
KhaliBeltolipara-8-wind-1,,KhaliBeltolipara,8-wind,nobar,nobar,n o b a r,,Kim2011,,,,
UsoiRobertpara-8-wind-1,,UsoiRobertpara,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
UsoiBethanipara-8-wind-1,,UsoiBethanipara,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
UsoiKatchaptali-8-wind-1,,UsoiKatchaptali,8-wind,nouba,nouba,n ou b a,,Kim2011,,,,
AnokLaiphuKarbaripara-8-wind-1,,AnokLaiphuKarbaripara,8-wind,nobar,nobar,n o b a r,,Kim2011,,,,
KewaKrishnaDayalpara-8-wind-1,,KewaKrishnaDayalpara,8-wind,nougba,nougba,n ou g b a,,Kim2011,,,,
PhatungJarichandrapara-8-wind-1,,PhatungJarichandrapara,8-wind,nəbət,nəbət,n ə b ə t,,Kim2011,,,,
DebbarmaDoluchara-8-wind-1,,DebbarmaDoluchara,8-wind,nobar,nobar,n o b a r,,Kim2011,,,,
DebbarmaSatchari-8-wind-1,,DebbarmaSatchari,8-wind,nobar,nobar,n o b a r,,Kim2011,,,,
DebbarmaKhumuling-8-wind-1,,DebbarmaKhumuling,8-wind,nogbar,nogbar,n o g b a r,,Kim2011,,,,
MukchakBarbakpur-8-wind-1,,MukchakBarbakpur,8-wind,nokbar,nokbar,n o k b a r,,Kim2011,,,,
RiangOldlankar-8-wind-1,,RiangOldlankar,8-wind,noukar,noukar,n ou k a r,,Kim2011,,,,
AbengGajni-8-wind-1,,AbengGajni,8-wind,balua,balua,b a l ua,,Kim2011,,,,
ChibokNagarSontosh-8-wind-1,,ChibokNagarSontosh,8-wind,balua,balua,b a l ua,,Kim2011,,,,
AtongNalchapra-8-wind-1,,AtongNalchapra,8-wind,balua,balua,b a l ua,,Kim2011,,,,
Bangla-9-lightning-1,,Bangla,9-lightning,bɪdːutʧɔmkano,bɪdːutʧɔmkano,b ɪ dː u t ʧ ɔ m k a n o,,Kim2011,,,,
